VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_NORMAL0.w, in_TANGENT0.x, in_TANGENT0.y, in_TANGENT0.z, in_TANGENT0.w, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD1.x, in_TEXCOORD1.y
0, 0, -1.63034, 0.01874, 0.3243, 0.00, 1.00, 2.38419E-07, 0.00, -0.19495, 0.00, -0.98096, -1.00, 0.50049, 0.02017, 0.50036, 0.02333
1, 1, -1.63034, 0.01874, -0.32429, 0.00, 1.00, 2.38419E-07, 0.00, -0.19519, 0.00, -0.98096, -1.00, 0.68457, 0.05682, 0.68355, 0.05975
2, 2, -1.66228, 0.01874, 3.05176E-07, 2.98023E-07, 1.00, 2.38419E-07, 0.00, -0.19495, 0.00, -0.98096, -1.00, 0.59424, 0.02942, 0.59382, 0.03252
3, 0, -1.63034, 0.01874, 0.3243, 0.00, 1.00, 2.38419E-07, 0.00, -0.19495, 0.00, -0.98096, -1.00, 0.50049, 0.02017, 0.50036, 0.02333
4, 3, -1.53575, 0.01874, -0.63613, 0.00, 1.00, 2.38419E-07, 0.00, -0.19519, 0.00, -0.98096, -1.00, 0.76807, 0.10132, 0.76625, 0.10398
5, 1, -1.63034, 0.01874, -0.32429, 0.00, 1.00, 2.38419E-07, 0.00, -0.19519, 0.00, -0.98096, -1.00, 0.68457, 0.05682, 0.68355, 0.05975
6, 0, -1.63034, 0.01874, 0.3243, 0.00, 1.00, 2.38419E-07, 0.00, -0.19495, 0.00, -0.98096, -1.00, 0.50049, 0.02017, 0.50036, 0.02333
7, 4, -1.53575, 0.01874, 0.63613, 0.00, 1.00, 2.38419E-07, 0.00, -0.19495, 0.00, -0.98096, -1.00, 0.40625, 0.02943, 0.40692, 0.03254
8, 3, -1.53575, 0.01874, -0.63613, 0.00, 1.00, 2.38419E-07, 0.00, -0.19519, 0.00, -0.98096, -1.00, 0.76807, 0.10132, 0.76625, 0.10398
9, 4, -1.53575, 0.01874, 0.63613, 0.00, 1.00, 2.38419E-07, 0.00, -0.19495, 0.00, -0.98096, -1.00, 0.40625, 0.02943, 0.40692, 0.03254
10, 5, -1.38214, 0.01874, -0.92351, 0.00, 1.00, 2.38419E-07, 0.00, -0.19373, 0.00, -0.98096, -1.00, 0.84131, 0.16101, 0.83874, 0.1635
11, 3, -1.53575, 0.01874, -0.63613, 0.00, 1.00, 2.38419E-07, 0.00, -0.19519, 0.00, -0.98096, -1.00, 0.76807, 0.10132, 0.76625, 0.10398
12, 4, -1.53575, 0.01874, 0.63613, 0.00, 1.00, 2.38419E-07, 0.00, -0.19495, 0.00, -0.98096, -1.00, 0.40625, 0.02943, 0.40692, 0.03254
13, 6, -1.38214, 0.01874, 0.92351, 0.00, 1.00, 2.38419E-07, 0.00, -0.19507, 0.00, -0.98096, -1.00, 0.31592, 0.05685, 0.31715, 0.05977
14, 5, -1.38214, 0.01874, -0.92351, 0.00, 1.00, 2.38419E-07, 0.00, -0.19373, 0.00, -0.98096, -1.00, 0.84131, 0.16101, 0.83874, 0.1635
15, 6, -1.38214, 0.01874, 0.92351, 0.00, 1.00, 2.38419E-07, 0.00, -0.19507, 0.00, -0.98096, -1.00, 0.31592, 0.05685, 0.31715, 0.05977
16, 7, -1.17541, 0.01874, -1.17541, 0.00, 1.00, 2.38419E-07, 0.00, -0.19495, 0.00, -0.98096, -1.00, 0.90088, 0.23438, 0.89824, 0.23602
17, 5, -1.38214, 0.01874, -0.92351, 0.00, 1.00, 2.38419E-07, 0.00, -0.19373, 0.00, -0.98096, -1.00, 0.84131, 0.16101, 0.83874, 0.1635
18, 6, -1.38214, 0.01874, 0.92351, 0.00, 1.00, 2.38419E-07, 0.00, -0.19507, 0.00, -0.98096, -1.00, 0.31592, 0.05685, 0.31715, 0.05977
19, 8, -1.17541, 0.01874, 1.17541, 0.00, 1.00, 2.38419E-07, 0.00, -0.19519, 0.00, -0.98096, -1.00, 0.23279, 0.10138, 0.23447, 0.104
20, 7, -1.17541, 0.01874, -1.17541, 0.00, 1.00, 2.38419E-07, 0.00, -0.19495, 0.00, -0.98096, -1.00, 0.90088, 0.23438, 0.89824, 0.23602
21, 8, -1.17541, 0.01874, 1.17541, 0.00, 1.00, 2.38419E-07, 0.00, -0.19519, 0.00, -0.98096, -1.00, 0.23279, 0.10138, 0.23447, 0.104
22, 9, -0.92351, 0.01874, -1.38214, 0.00, 1.00, 2.38419E-07, 0.00, -0.19519, 0.00, -0.98096, -1.00, 0.94531, 0.31763, 0.94246, 0.31876
23, 7, -1.17541, 0.01874, -1.17541, 0.00, 1.00, 2.38419E-07, 0.00, -0.19495, 0.00, -0.98096, -1.00, 0.90088, 0.23438, 0.89824, 0.23602
24, 8, -1.17541, 0.01874, 1.17541, 0.00, 1.00, 2.38419E-07, 0.00, -0.19519, 0.00, -0.98096, -1.00, 0.23279, 0.10138, 0.23447, 0.104
25, 10, -0.92351, 0.01874, 1.38214, 0.00, 1.00, 2.38419E-07, 0.00, -0.19519, 0.00, -0.98096, -1.00, 0.15979, 0.16125, 0.162, 0.16351
