VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_NORMAL0.w, in_TANGENT0.x, in_TANGENT0.y, in_TANGENT0.z, in_TANGENT0.w, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD1.x, in_TEXCOORD1.y
0, 0, 0.05873, 0.34421, -0.53575, -0.3147, 0.93555, 0.16162, 0.00, -0.36108, 0.03955, -0.93164, -1.00, 0.94092, 0.74756, 0.23213, 0.99094
1, 1, 0.05779, 0.34267, -0.52868, -0.3147, 0.93555, 0.16162, 0.00, -0.36108, 0.03955, -0.93164, -1.00, 0.93701, 0.74609, 0.23471, 0.9917
2, 2, 0.06426, 0.34593, -0.53493, -0.3147, 0.93555, 0.16162, 0.00, -0.36108, 0.03955, -0.93164, -1.00, 0.93994, 0.75, 0.23296, 0.9894
3, 3, 0.06426, 0.34593, -0.53493, -0.92871, 0.23914, 0.28296, 0.00, -0.22021, 0.25757, -0.94092, -1.00, 0.93994, 0.75, 0.23296, 0.9894
4, 4, 0.06992, 0.36497, -0.53246, -0.92871, 0.23914, 0.28296, 0.00, -0.22021, 0.25757, -0.94092, -1.00, 0.93799, 0.75928, 0.23456, 0.98341
5, 5, 0.06596, 0.35623, -0.53806, -0.92871, 0.23914, 0.28296, 0.00, -0.22021, 0.25757, -0.94092, -1.00, 0.94141, 0.75439, 0.23229, 0.98627
6, 6, 0.06426, 0.34593, -0.53493, -0.23499, 0.31812, 0.91846, 0.00, -0.74512, 0.54785, -0.38037, -1.00, 0.93994, 0.75, 0.23296, 0.9894
7, 7, 0.06596, 0.35623, -0.53806, -0.23499, 0.31812, 0.91846, 0.00, -0.74512, 0.54785, -0.38037, -1.00, 0.94141, 0.75439, 0.23229, 0.98627
8, 8, 0.05873, 0.34421, -0.53575, -0.23499, 0.31812, 0.91846, 0.00, -0.74512, 0.54785, -0.38037, -1.00, 0.94092, 0.74756, 0.23213, 0.99094
9, 9, 0.06992, 0.36497, -0.53246, -0.68408, 0.4812, -0.54834, 0.00, 0.45361, -0.30811, -0.83643, -1.00, 0.93799, 0.75928, 0.23456, 0.98341
10, 10, 0.08349, 0.38128, -0.53174, -0.75781, 0.53955, -0.36694, 0.00, 0.30908, -0.19812, -0.93018, -1.00, 0.93896, 0.771, 0.23444, 0.97633
11, 11, 0.06596, 0.35623, -0.53806, -0.68262, 0.5874, -0.43481, 0.00, 0.32104, -0.29346, -0.90039, -1.00, 0.94141, 0.75439, 0.23229, 0.98627
12, 10, 0.08349, 0.38128, -0.53174, -0.75781, 0.53955, -0.36694, 0.00, 0.30908, -0.19812, -0.93018, -1.00, 0.93896, 0.771, 0.23444, 0.97633
13, 9, 0.06992, 0.36497, -0.53246, -0.68408, 0.4812, -0.54834, 0.00, 0.45361, -0.30811, -0.83643, -1.00, 0.93799, 0.75928, 0.23456, 0.98341
14, 12, 0.08063, 0.38115, -0.52635, -0.55859, 0.48413, -0.67334, 0.00, 0.56299, -0.375, -0.73633, -1.00, 0.93604, 0.77002, 0.23639, 0.97689
15, 12, 0.08063, 0.38115, -0.52635, -0.55859, 0.48413, -0.67334, 0.00, 0.56299, -0.375, -0.73633, -1.00, 0.93604, 0.77002, 0.23639, 0.97689
